Date,Close,Volume
01/05/2018,1037.31,1427900
02/05/2018,1024.38,1603100
03/05/2018,1023.72,1815100
04/05/2018,1048.21,1938700
07/05/2018,1054.79,1466100
08/05/2018,1053.91,1217700
09/05/2018,1082.76,2032800
10/05/2018,1097.57,1443000
11/05/2018,1098.26,1253700
14/05/2018,1100.2,1518100
15/05/2018,1079.23,1494900
16/05/2018,1081.77,1097300
17/05/2018,1078.59,1043800
18/05/2018,1066.36,1565200
21/05/2018,1079.58,1023200
22/05/2018,1069.73,1090000
23/05/2018,1079.69,1030000
24/05/2018,1079.24,756800
25/05/2018,1075.66,899400
29/05/2018,1060.32,1856900
30/05/2018,1067.8,1138500
31/05/2018,1084.99,3088300
